SCALERANK,NATSCALE,LABELRANK,FEATURECLA,NAME,NAMEPAR,NAMEALT,DIFFASCII,NAMEASCII,ADM0CAP,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,LATITUDE,LONGITUDE,CHANGED,NAMEDIFF,DIFFNOTE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,GEONAMEID,MEGANAME,LS_NAME,LS_MATCH,CHECKME,MAX_POP10,MAX_POP20,MAX_POP50,MAX_POP300,MAX_POP310,MAX_NATSCA,MIN_AREAKM,MAX_AREAKM,MIN_AREAMI,MAX_AREAMI,MIN_PERKM,MAX_PERKM,MIN_PERMI,MAX_PERMI,MIN_BBXMIN,MAX_BBXMIN,MIN_BBXMAX,MAX_BBXMAX,MIN_BBYMIN,MAX_BBYMIN,MIN_BBYMAX,MAX_BBYMAX,MEAN_BBXC,MEAN_BBYC,COMPARE,GN_ASCII,FEATURE_CL,FEATURE_CO,ADMIN1_COD,GN_POP,ELEVATION,GTOPO30,TIMEZONE,GEONAMESNO,UN_FID,UN_ADM0,UN_LAT,UN_LONG,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2050,CITYALT,min_zoom,wikidataid,wof_id,CAPALT,name_en,name_de,name_es,name_fr,name_pt,name_ru,name_zh,label,name_ar,name_bn,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_sv,name_tr,name_vi,wdid_score,ne_id
10,1,7,Admin-1 capital,Delémont,,,0,Delemont,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Jura,CH,,47.36999712580,7.34499948764,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,11315,11315,0,6,6,2661035.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Delemont,P,PPLA,0.00000000000,11315,0.00000000000,412.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,8.0,Q63896,101854235,0,Delémont,Delsberg,Delémont,Delémont,Delémont,Делемон,德莱蒙,,دوليمو,,,,Delémont,Delémont,Delémont,ドレモン,들레몽,Delémont,Delémont,Delémont,Delémont,,4,1159114441
10,1,7,Admin-1 capital,Neuchâtel,,,0,Neuchatel,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Neuchâtel,CH,,46.99899914470,6.92299861540,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,31270,31270,0,7,7,2659496.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Neuchatel,P,PPLA,0.00000000000,31270,0.00000000000,463.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,9.0,Q69345,101853995,0,Neuchâtel,Neuenburg,Neuchâtel,Neuchâtel,Neuchâtel,Невшатель,纳沙泰尔,,نوشاتيل,,Νοσατέλ,,Neuchâtel,Neuchâtel,Neuchâtel,ヌーシャテル,뇌샤텔,Neuchâtel,Neuchâtel,Neuchâtel,Neuchâtel,Neuchâtel,4,1159114457
10,1,7,Admin-1 capital,Aarau,,,0,Aarau,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Aargau,CH,,47.39000410020,8.03400361048,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,15501,15501,0,6,6,2661881.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Aarau,P,PPLA,0.00000000000,15501,0.00000000000,379.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,8.0,Q14274,101854331,0,Aarau,Aarau,Aarau,Aarau,Aarau,Арау,阿劳,,أراو,,Άαραου,,Aarau,Aarau,Aarau,アーラウ,아라우,Aarau,Aarau,Aarau,Aarau,Aarau,4,1159114477
10,1,7,Admin-1 capital,Stans,,,0,Stans,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Nidwalden,CH,,46.95000307390,8.38330254672,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,7475,7475,0,5,5,2658504.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Stans,P,PPLA,0.00000000000,7475,0.00000000000,558.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,9.0,Q63931,101853915,0,Stans,Stans,Stans,Stans,Stans,Штанс,施坦斯,,ستانس,,Στανς,,Stans,Stans,Stans,シュタンス,슈탄스,Stans,Stans,Stans,Stans,,4,1159114501
10,1,7,Admin-1 capital,Sion,,,0,Sion,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Valais,CH,,46.23900302860,7.35399948193,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,28045,28045,0,7,7,2658576.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Sion,P,PPLA,0.00000000000,28045,0.00000000000,496.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,8.0,Q68136,101853219,0,Sion,Sitten,Sion,Sion,Sion,Сьон,锡永,,سيون,সাইয়ন,Σιόν,,Sion,Sion,Sion,シオン,시옹,Sion,Sion,Sion,Sion,Sion,4,1159114521
10,1,7,Admin-1 capital,Herisau,,,0,Herisau,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Appenzell Ausserrhoden,CH,,47.38329903330,9.28330247214,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,15438,15438,0,6,6,2660365.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Herisau,P,PPLA,0.00000000000,15438,0.00000000000,804.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,9.0,Q63970,101876001,0,Herisau,Herisau,Herisau,Herisau,Herisau,Херизау,黑里紹,,هيراسايو,,,,Herisau,Herisau,Herisau,ヘリザウ,헤리자우,Herisau,Herisau,Herisau,Herisau,,4,1159114539
10,1,7,Admin-1 capital,Saint Gallen,,,0,Saint Gallen,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Sankt Gallen,CH,,47.42299806670,9.36199855724,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,70572,70572,0,8,8,2658822.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Sankt Gallen,P,PPLA,0.00000000000,70572,0.00000000000,671.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,9.0,Q25607,101748457,0,St. Gallen,St. Gallen,San Galo,Saint-Gall,São Galo,Санкт-Галлен,圣加仑,,سانت غالن,,Σανκτ Γκάλεν,,St. Gallen,St. Gallen,San Gallo,ザンクト・ガレン,장크트갈렌,Sankt Gallen,St. Gallen,Sankt Gallen,St. Gallen,St. Gallen,4,1159114557
10,1,7,Admin-1 capital,Bellinzona,,,0,Bellinzona,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Ticino,CH,,46.19700013170,9.01999860875,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,16572,16572,0,6,6,2661567.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Bellinzona,P,PPLA,0.00000000000,16572,0.00000000000,228.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,8.0,Q64044,101853199,0,Bellinzona,Bellinzona,Bellinzona,Bellinzone,Bellinzona,Беллинцона,貝林佐納,,بيلينزونا,,Μπελλιντσόνα,बेलिंज़ोआ,Bellinzona,Bellinzona,Bellinzona,ベッリンツォーナ,벨린초나,Bellinzona,Bellinzona,Bellinzona,Bellinzona,,4,1159114577
10,1,7,Admin-1 capital,Glarus,,,0,Glarus,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Glarus,CH,,47.05000203590,9.06669958673,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,5681,5681,0,5,5,2660594.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Glarus,P,PPLA,0.00000000000,5681,0.00000000000,470.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,9.0,Q63912,101875969,0,Glarus,Glarus,Glaris,Glaris Centre,Glarona,Гларус,格拉魯斯,,غلروس,,,,Glarus,Glarus,Glarona,グラールス,글라루스,Glarus,Glarus,Glarus,Glarus,Glarus,4,1159114593
10,1,7,Admin-1 capital,Schaffhausen,,,0,Schaffhausen,0.00000000000,,0.00000000000,0,Switzerland,CHE,Switzerland,CHE,Schaffhausen,CH,,47.70600309070,8.63299852333,4.00000000000,1,Added missing admin-1 capital. Population from GeoNames.,33863,33863,0,7,7,2658761.00000000000,,,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,Schaffhausen,P,PPLA,0.00000000000,33863,0.00000000000,399.00000000000,Europe/Zurich,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,7.0,Q9009,101876061,0,Schaffhausen,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Шаффхаузен,沙夫豪森,,شافهاوزن,,Σαφχάουζεν,,Schaffhausen,Schaffhausen,Sciaffusa,シャフハウゼン,샤프하우젠,Schaffhausen,Szafuza,Schaffhausen,Schaffhausen,Schaffhausen,4,1159114605
