university,lat,lng,note,count,amount_sum,amount_mean,amount_median,type
University of Zurich - ZH,47.37639,8.54806,,7616,2190497640,287617.8625,187272.5,uni
University of Geneva - GE,46.19899,6.14446,,7005,2159435503,308270.5929,200708,uni
ETH Zurich - ETHZ,47.37639,8.54806,,6858,1954799782,285039.3383,188405,epf
University of Berne - BE,46.95083,7.43861,,6071,1832568050,301856.0452,199692,uni
University of Basel - BS,47.55858,7.5836,,5244,1585972568,302435.6538,200000,uni
EPF Lausanne - EPFL,46.52027778,6.565555556,,4863,1453259646,298840.1494,181855,epf
University of Lausanne - LA,46.5225,6.579444444,,4616,1363180584,295316.4178,198521,uni
University of Fribourg - FR,46.806903,7.152017,,2347,522216896,222504.0037,149218,uni
University of Neuchatel - NE,46.99387,6.93869,,1709,447028593,261573.1967,167680,uni
Paul Scherrer Institute - PSI,47.538721,8.22985,,660,145847547,220981.1331,176008,other
University of St.Gallen - SG,47.432164,9.375573,,493,80623633,163536.7818,121547,uni
Università della Svizzera italiana - USI,45.9808,8.95822,,430,110359980,256651.118,200280,uni
Swiss Federal Institute of Aquatic Science and Technology - EAWAG,47.403977,8.589558,,376,87233703,232004.5313,192299,epf
University of Applied Sciences and Arts Western Switzerland - HES-SO,47.362737,7.35273,,323,44974788,139240.8324,99242,hes
Swiss Federal Laboratories for Materials Science and Technology - EMPA,47.402397,8.642308,,317,77281249,243789.4319,200000,epf
"Swiss Federal Institute for Forest, Snow and Landscape Research  - WSL",47.360805,8.454624,,290,60848941,209823.9367,184974,epf
University of Lucerne - LU,47.04944444,8.31222222,,266,51592524,193956.8602,103579,uni
University of Applied Sciences and Arts Northwestern Switzerland (without UTE) - FHNW,47.482101,8.21147,,243,48039286,197692.5382,168124,hes
Graduate Institute of International and Development Studies - IHEID,46.2219,6.1511,,240,52365856,218191.0692,124775.5,other
Berne University of Applied Sciences - BFH,46.960944,7.43676,,169,34745316,205593.5894,139896,hes
Zurich University of the Arts - ZHdK,47.3904213,8.5114996,,163,27841936,170809.4247,153965,hes
Research Institutes Agroscope - AGS,46.768846,7.105295,,162,36659441,226292.8457,197800,other
University of Applied Sciences and Arts of Southern Switzerland - SUPSI,46.031766,8.924781,,147,26545898,180584.3412,149073,hes
Zurich University of Applied Sciences - ZHAW,47.499985,8.720533,,144,31472068,218556.034,178113.5,hes
Institute Friedrich Miescher - FMI,47.56785,7.604171,,109,46463263,426268.4735,366560,other
Idiap Research Institute - IDIAP,46.109584,7.084475,,97,42062663,433635.7031,178128,other
Pädagogische Hochschule der Fachhochschule Nordwestschweiz - PH-FHNW,47.56082,7.631932,,84,14208076,169143.7658,178136.5,hep
Lucerne University of Applied Sciences and Arts - HSLU,47.04972,8.3,,81,14464665,178576.1111,131189,hes
Physikal.-Meteorolog. Observatorium Davos - PMOD,46.813492,9.844444,,51,12605529,247167.2353,180366,other
Cantonal hospital of St.Gallen - KSPSG,47.430488,9.387393,,48,17944738,373848.7083,272250,other
Swiss Institute of Allergy and Asthma Research - SIAF,46.795649,9.819848,,46,20401965,443520.9783,336000,other
Pädagogische Hochschule Zürich - PHZH,47.37752,8.5348,,42,9250518,220250.4286,215008,hep
Swiss Institute of Bioinformatics - SIB,46.5195716,6.5440068,,36,11751736,326437.1111,272068.5,other
Institute for Work and Health -  IST,46.5431,6.661247,institut de recherche de la santé au travail ?,35,6949863,198567.5386,175099,other
Swiss Centre of Expertise in the Social Sciences - FORS,46.526508,6.579598,,34,66948567,1969075.5,340381,other
University of Applied Sciences Ostschweiz - FHO,47.4208158,9.3636441,,34,6082591,178899.7353,146297,hes
Swiss Center for Electronics and Microtech. - CSEM,46.536892,6.617883,,30,19759005,658633.5,307907.5,other
Ente Ospedaliero Cantonale - EOC,46.196883,9.026578,,28,6598381,235656.4643,240629.5,other
Haute école pédagogique du canton de Vaud - HEPL,46.512886,6.621591,,25,1918160,76726.4,5800,hep
Research Institute of Organic Agriculture - FiBL,47.517171,8.025104,,25,11769860,470794.4,317478,other
Interkantonale Hochschule für Heilpädagogik - HfH,47.403411,8.547119,,24,3778109,157421.2083,69590.5,hep
AO Research Institute - AORI,46.777473,9.814352,ARI ou AORI ?,23,3615401,157191.3478,108000,other
Swiss Institute of Art Research - SIK-ISEA,46.5225,6.579444444,,22,4759108,216323.0909,114000,other
University Institute Kurt Bösch - IUKB,46.200067,7.398657,,22,2119113,96323.31818,6150,other
Pädagogische Hochschule Luzern - PHLU,47.0510453,8.3023319,,20,2336693,116834.65,73667,hep
Swiss Federal Institute for Vocational Education and Training - EHB,47.001681,7.450661,,17,3157894,185758.5018,179410,other
Pädagogische Hochschule Bern - PHBern,46.95083,7.43861,,15,2932853,195523.5733,128629,hep
Pädagogische Hochschule St.Gallen - PHSG,47.472288,9.494835,,15,2606793,173786.2,190040,hep
Institute for Research in Ophtalmology - IRO,46.232713,7.443239,,14,3478469,248462.0714,218500,other
Swiss Paraplegic Research - SPF,47.142253,8.130866,,14,3154179,225298.5,181518,other
Institut für Kulturforschung Graubünden - IKG,46.851342,9.533837,,12,1219681,101640.0833,79866.5,other
Biotechnology Institute Thurgau - BITG,47.6483273,9.161303,,10,3558535,355853.5,377511,other
"Dipartimento formazione e apprendimento, Scuola universitaria professionale della Svizzera italiana - SUPSI-DFA",46.207314,8.864358,,10,1157886,115788.6,37250,other
Luzerner Kantonsspital - LUKS,47.099419,8.30687,,10,806785,80678.5,10500,other
